bitlength,timedelta
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,1
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
3,1
3,0
3,0
3,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,0
4,1
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,1
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,1
4,0
4,0
4,0
